id,name,birth,death,checkpoint,categories,extrainfo
523,"Mendoza, Eddie",1992,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, USA",
524,"Menzel, Adolph von",1815,1905,Deliberate 2.0,"Illustration, Painting, Oil, Portrait, Realism, Germany",
525,"Merian, Maria Sibylla",1647,1717,DreamShaper 3.2,"Painting, Illustration, Engraving, Botanical, Germany, 17th Century",
526,"Merriam, Daniel",1963,,DreamShaper 3.2,"Illustration, Painting, Watercolor, Surrealism, USA",
527,"Messina, Antonello da",1430,1479,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 15th Century",
528,"Metzinger, Jean",1883,1956,Deliberate 2.0,"Painting, Oil, Guache, Portrait, Landscape, Cubism, France",
529,"Middleton, Joshua",,,DreamShaper 3.2,"Illustration, Comic, Ink, DC Comics, Marvel, USA",
530,"Mignola, Mike",1960,,Deliberate 2.0,"Comic, Ink, Watercolor, USA",
531,"Mili, Gjon",1904,1984,DreamShaper 3.2,"Photography, Dance, Albania",
532,"Miller, Frank",1957,,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
533,"Miller, Ian",1946,,Deliberate 2.0,"Illustration, Ink, Watercolor, Fantasy, Gothic, Cover Art, USA",
534,"Mills, Russ",1952,,DreamShaper 3.2,"Illustration, Cover Art, UK",
535,"Miura, Kentarō",1966,2021,Deliberate 2.0,"Illustration, Manga, B&W, Japan",
536,"Miyazaki, Hayao",1941,,DreamShaper 3.2,"Movie Director, Anime, Ghibli, Japan",
537,"Mizuno, Junko",1973,,DreamShaper 3.2,"Illustration, Manga, Japan",
538,"Moebius (Giraud, Jean)",1938,2012,Deliberate 2.0,"Illustration, Comic, France",
539,"Mohrbacher, Peter",,,Deliberate 2.0,"Illustration, Fantasy, USA",
540,"Monet, Claude",1840,1926,Deliberate 2.0,"Painting, Oil, Landscape, Portrait, Impressionism, France, 19th Century",
541,"Monge, Jean-Baptiste",1971,,DreamShaper 3.2,"Illustration, Character Design, Fantasy, Canada",
542,"Moore, Chris",1947,,Deliberate 2.0,"Illustration, Painting, Sci-Fi, Cover Art, UK","weaker on people, had to use [from:to:when] for H.C."
543,"Mora, Dan (Chaves)",1987,,Deliberate 2.0,"Illustration, Comic, Sci-Fi, Fantasy, Costa Rica",
544,"Moran, Thomas",1837,1926,Deliberate 2.0,"Painting, Oil, Landscape, USA, 19th Century",
545,"Morandi, Giorgio",1890,1964,Deliberate 2.0,"Painting, Oil, Still Life, Italy",
546,"Moreau, Gustave",1826,1898,Deliberate 2.0,"Painting, Oil, Symbolism, Nudity, France, 19th Century",
547,"Moret, Henry",1856,1913,Deliberate 2.0,"Painting, Oil, Landscape, Marine, Impressionism, France, 19th Century",
548,"Morisot, Berthe",1841,1895,DreamShaper 3.2,"Painting, Oil, Portrait, France, 19th Century",
549,"Moronobu, Hishikawa",1618,1694,DreamShaper 3.2,"Painting, Japan, 17th Century",
550,"Morrell, Stefan",1982,,Deliberate 2.0,"Illustration, Character Design, Concept Art, Game Art, USA",
551,"Morris, William",1834,1896,DreamShaper 3.2,"Illustration, Painting, Print, Wallpaper, UK, 19th Century",512px + Highres. Fix
552,"Morrocco, Alberto",1917,1998,Deliberate 2.0,"Painting, Oil, Scotland, UK",
553,"Morski, Igor",1960,,DreamShaper 3.2,"Illustration, Surrealism, Poland",
554,"Mortensen, John Kenn",1978,,Deliberate 2.0,"Illustration, Denmark",
555,"Moscoso, Victor",1936,,DreamShaper 3.2,"Comic, Poster, Psychedelic Art, Lithography, Spain, USA","512px + Highres. Fix, Euler A"
556,"Moss, Olly",1987,,DreamShaper 3.2,"Illustration, Concept Art, Poster, USA",
557,"Mucha, Alfons (Alphonse)",1860,1939,DreamShaper 3.2,"Illustration, Art Nouveau, Czech Republic, 19th Century",
558,"Mullins, Craig",1964,,DreamShaper 3.2,"Illustration, Game Art, USA",
559,"Mumford, Dan",,,Deliberate 2.0,"Illustration, Cover Art, UK","512px + Highres. Fix, low denoising strength"
560,"Munari, Bruno",1907,1998,Deliberate 2.0,"Illustration, Graphic Design, Italy",
561,"Munch, Edvard",1863,1944,Deliberate 2.0,"Painting, Oil, Expressionism, Symbolism, Norway, 19th Century",
562,"Murai, Will",,,DreamShaper 3.2,"Illustration, Blizzard, Hearthstone, MTG, USA",
563,"Murakami, Takashi",1962,,Deliberate 2.0,"Illustration, Visual Arts, Superflat, Japan",
564,"Murata, Yusuke",1978,,DreamShaper 3.2,"Illustration, Manga, Japan",
565,"Nagai, Hiroshi",1947,,DreamShaper 3.2,"Illustration, Landscape, Japan",
566,"Nagai, Kazumasa",1929,,DreamShaper 3.2,"Illustration, Graphic Design, Poster, Japan",
567,"Nagel, Patrick",1945,1984,Deliberate 2.0,"Illustration, Painting, Cover Art, Flat Style, Portrait, USA",
568,"Naismith, Scott",,,Deliberate 2.0,"Painting, Landscape, Oil, Scotland, UK",
569,"Nasmith, Ted",1956,,DreamShaper 3.2,"Illustration, Concept Art, Tolkien, Canada",
570,"Nasmyth, Alexander",1758,1840,Deliberate 2.0,"Painting, Oil, Landscape, Scotland, UK, 18th Century",
571,"Neel, Alice",1900,1984,Deliberate 2.0,"Painting, Oil, Portrait, Expressionism, USA",
572,"Negley, Keith",,,Deliberate 2.0,"Illustration, Cover Art, Flat Style, USA",
573,"Nelson, Kadir",1974,,DreamShaper 3.2,"Illustration, Painting, Portrait, Cover Art, USA",
574,"Nelson, R. Kenton",1954,,DreamShaper 3.2,"Painting, USA",
575,"Nerdrum, Odd",1944,,Deliberate 2.0,"Painting, Oil, Lithography, Portrait, Norway",
576,"Newland, Jane",,,Deliberate 2.0,"Illustration, Watercolor, Flat Style, UK",
577,"Ngai, Victo",1988,,DreamShaper 3.2,"Illustration, Children's Book, USA",
578,"Nguyen, Dustin",1976,,DreamShaper 3.2,"Comic, DC Comics, USA",
579,"Nielsen, Kay",1886,1957,Deliberate 2.0,"Illustration, Disney, Denmark",
580,"Nihei, Tsutomu",1971,,Deliberate 2.0,"Illustration, Manga, Sci-Fi, Japan",
581,"Nirasawa, Yasushi",1963,2016,DreamShaper 3.2,"Illustration, Character Design, Japan",512px + Highres. Fix
582,"Nizovtsev, Victor",1965,,Deliberate 2.0,"Painting, Russia",
583,"Nolin, Catherine",,,Deliberate 2.0,"Painting, Acrylic, Oil, Portrait, Interior, USA",
584,"Norem, Earl",1923,2015,Deliberate 2.0,"Illustration, Comic, Poster, Cover Art, Marvel, USA",
585,"North, Marianne",1830,1890,DreamShaper 3.2,"Painting, Landscape, Botanical, UK, 19th Century",
586,"Oakley, Thornton",1881,1953,DreamShaper 3.2,"Illustration, Charcoal, Gouache, Watercolor, USA",
587,"Ofili, Chris",1968,,DreamShaper 3.2,"Painting, Watercolor, Charcoal, UK",
588,"Ojala, Eiko",,,Deliberate 2.0,"Illustration, Cover Art, Flat Style, Estonia",512px + Highres. Fix
589,"Olschinsky, Atelier",,,Deliberate 2.0,"Illustration, 3D, Sci-Fi, Austria",
590,"Oprisco, Oleg",,,Deliberate 2.0,"Photography, Portrait, Ukraine",
591,"Otomo, Katsuhiro",1954,,DreamShaper 3.2,"Illustration, Manga, Japan",
592,"Otomo, Shohei",1980,,DreamShaper 3.2,"Illustration, Ink, B&W, Japan",
593,"Oum, Siya",,,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
594,"O’Keeffe, Georgia",1887,1986,Deliberate 2.0,"Painting, Oil, USA",
595,P.A. Works,2000,,DreamShaper 3.2,"Anime, Japan",
596,"Panter, Gary",1950,,Deliberate 2.0,"Illustration, Painting, Comic, Author, Acrylic, Ink, USA",
597,"Paolozzi, Eduardo",1924,2005,Deliberate 2.0,"Illustration, Lithography, Collage, Pop-Art, Scotland, UK",
598,"Parel, Gerald",1975,,DreamShaper 3.2,"Illustration, Game Art, Germany",
599,Parmigianino,1503,1540,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 16th Century",clothes might be wrong
600,"Parrish, Maxfield",1870,1966,Deliberate 2.0,"Illustration, Painting, Oil, USA",
601,"Paschke, Edward Francis",1939,2004,Deliberate 2.0,"Painting, Oil, Portrait, Expressionism, Abstract, USA",
602,"Peak, Bob",1927,1992,Deliberate 2.0,"Illustration, Poster, Cover Art, USA",
603,"Peeters, Clara",1594,1658,Deliberate 2.0,"Painting, Oil, Still Life, Belgium",
604,"Pei, Guo",1967,,DreamShaper 3.2,"Fashion Designer, Fashion, China",
605,"Pennington, Bruce",1944,,DreamShaper 3.2,"Painting, Fantasy, Sci-Fi, UK",
606,"Perceval, John",1923,2000,DreamShaper 3.2,"Painting, Australia",
607,"Petolas, Nikolina",1978,,DreamShaper 3.2,"Illustration, Painting, Photography, Concept Art, Croatia",
608,"Phillips, Coles",1880,1927,Deliberate 2.0,"Illustration, Watercolor, USA",512px + Highres. Fix
609,"Phillips, Sean",1965,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, UK",
610,"Picabia, Francis-Marie Martinez",1879,1953,Deliberate 2.0,"Painting, Oil, Watercolor, Portrait, Dada, Surrealism, Cubism, France","looks different in 768px+, had to use [from:to:when] for H.C."
611,"Picolo, Gabriel",,,Deliberate 2.0,"Illustration, Comic, DC Comics, Blizzard, Brazil",
612,"Pieck, Anton Franciscus",1895,1987,Deliberate 2.0,"Illustration, Painting, Watercolor, Ink, Gouache, Netherlands",
613,"Pinkney, Jerry",1939,2021,DreamShaper 3.2,"Illustration, Watercolor, Children's Book, USA",
614,"Pirner, Maximilian",1854,1924,Deliberate 2.0,"Illustration, Painting, Oil, Czech Republic",
615,"Pollock, Jackson",1912,1956,Deliberate 2.0,"Painting, Expressionism, USA",
616,"Pontormo, Jacopo da",1494,1557,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 16th Century","looks nice, but lots of extra hands"
617,"Pope, Paul",1970,,Deliberate 2.0,"Comic, DC Comics, USA",
618,"Porter, Fairfield",1907,1975,Deliberate 2.0,"Painting, Oil, Portrait, USA",
619,"Portinari, Candido",1903,1962,DreamShaper 3.2,"Painting, Oil, Portrait, Brazil",
620,"Prades, Simón",1985,,DreamShaper 3.2,"Illustration, Ink, Germany",
621,"Pranckevicius, Gediminas",,,Deliberate 2.0,"Illustration, Animation, Concept Art, Lithuania",
622,"Pratt, Hugo",1927,1995,DreamShaper 3.2,"Illustration, Watercolor, Ink, Comic, Graphic Novel, Italy",
623,"Prins, Theo",,,Deliberate 2.0,"Concept Art, USA",
624,"Procter, Dod",1890,1972,DreamShaper 3.2,"Painting, Oil, Portrait, UK",
625,"Procter, Ernest",1885,1935,Deliberate 2.0,"Painting, Oil, Portrait, UK","way different, but looks nice - fits better with Dod Procter's style"
626,"Provensen, Alice",1918,2018,Deliberate 2.0,"Illustration, Children's Book, USA",
627,"Purcell, Steve",1961,,DreamShaper 3.2,"Comic, Animation, Character Design, Game Art, USA",
628,"Putz, Leo",1869,1940,Deliberate 2.0,"Painting, Oil, Portrait, Italy",
629,"Quitely, Frank",1968,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, Cover Art, Scotland, UK",
630,"Rackham, Arthur",1867,1939,DreamShaper 3.2,"Illustration, Watercolor, Ink, Children's Book, Art Nouveau, UK, 19th Century",
631,"Raleigh, Henry Patrick",1880,1945,DreamShaper 3.2,"Illustration, Watercolor, Charcoal, USA",
632,"Ramos, Humberto",1970,,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, Cover Art, Mexico",DPM++ SDE Karras
633,"Rand, Paul",1914,1996,Deliberate 2.0,"Illustration, Graphic Design, Logo, USA",
634,Raphael (Raffaello Sanzio da Urbino),1483,1520,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 15th Century",
635,"Rebelka, Jakub",1981,,Deliberate 2.0,"Illustration, Concept Art, Poland",
636,"Redon, Odilon",1840,1916,DreamShaper 3.2,"Painting, Symbolism, France, 19th Century",
637,"Redpath, Anne",1895,1965,DreamShaper 3.2,"Painting, Oil, Still Life, Landscape, Scotland, UK",
638,"Reiniger, Lotte",1899,1981,Deliberate 2.0,"Movie Director, Animation, Silhouette, B&W, Germany",
639,Rembrandt (van Rijn),1606,1669,Deliberate 2.0,"Painting, Oil, Portrait, Baroque, Netherlands, 17th Century",unflexible/difficult to prompt
640,"Remnev, Andrey",1962,,Deliberate 2.0,"Painting, Oil, Portrait, Russia",
641,"Renoir, Pierre-Auguste",1841,1919,Deliberate 2.0,"Painting, Oil, Portrait, Impressionism, France, 19th Century",feels a bit blurry and generic
642,"Repin, Ilya/Ilja",1844,1930,DreamShaper 3.2,"Painting, Oil, Portrait, Ukraine, 19th Century",
643,"Retz, Zac",,,Deliberate 2.0,"Illustration, Animation, Concept Art, Character Design, USA","might not be destinct enough, digital style with contemporary context"
644,Rhads (Artem Chebokha),,,Deliberate 2.0,"Illustration, Landscape, Russia",
645,"Rhead, Louis",1857,1926,Deliberate 2.0,"Illustration, Poster, Art Nouveau, B&W, UK, USA",
646,"Rhodes, Matt",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, USA",
647,"Rigaud, Hyacinthe",1659,1743,Deliberate 2.0,"Painting, Oil, Portrait, Baroque, France, 17th Century",
648,"Rikalo, Jovana",,,Deliberate 2.0,"Photography, Portrait, Serbia",
649,"Ringgold, Faith",1930,,Deliberate 2.0,"Painting, Oil, Acrylic, USA",
650,"Riopelle, Jean-Paul",1923,2002,DreamShaper 3.2,"Painting, Oil, Expressionism, Abstract, USA",
651,"Rivera, Diego",1886,1957,Deliberate 2.0,"Painting, Portrait, Muralismo, Realism, Mexico",
652,"Robbins, Trina",1938,,Deliberate 2.0,"Illustration, Comic, DC Comics, Marvel, B&W, USA",
653,"Robida, Albert",1948,1926,Deliberate 2.0,"Illustration, Painting, Lithography, France, 19th Century",
654,"Robinson, William Heath",1872,1944,Deliberate 2.0,"Illustration, Ink, Watercolor, Cartoon, USA",
655,"Rocha, Andreas",,,Deliberate 2.0,"Concept Art, Fantasy, Sci-Fi, Portugal",
656,"Rockwell, Norman",1894,1978,DreamShaper 3.2,"Illustration, Painting, Cover Art, USA",
657,"Roerich, Nicholas",1874,1947,DreamShaper 3.2,"Painting, Tempera, Landscape, Symbolism, Russia, 19th Century",
658,"Rolando, Cyril",,,DreamShaper 3.2,"Illustration, France",
659,"Roset, Conrad",1984,,DreamShaper 3.2,"Illustration, Painting, Ink, Watercolor, Spain",
660,"Ross, Alex",1970,,DreamShaper 3.2,"Painting, Gouache, Comic, DC Comics, Marvel, Poster, USA",
661,"Rossier, Jessica",,,Deliberate 2.0,"Concept Art, Landscape, France",
662,"Rothko, Mark",1903,1970,Deliberate 2.0,"Painting, Oil, Abstract, Expressionism, Russia, USA",
663,"Rousseau, Henri",1844,1910,DreamShaper 3.2,"Painting, Oil, Landscape, Botanical, Naive Art, France, 19th Century",
664,"Roversi, Paolo",1947,,DreamShaper 3.2,"Photography, Fashion, Italy",
665,"Ruas, João",1981,,DreamShaper 3.2,"Illustration, Horror, Brazil",
666,"Rubens, Peter Paul",1577,1640,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Flemish, 17th Century",also known for curvy (naked) women and putti
667,"Rutkowski, Grzegorz (Greg)",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Poland",
668,"Ruysch, Rachel",1664,1750,Deliberate 2.0,"Painting, Oil, Still Life, Botanical, Netherlands, 17th Century",
669,"Ryden, Mark",1963,,Deliberate 2.0,"Painting, USA",
670,"Ryder, Albert Pinkham",1847,1917,Deliberate 2.0,"Painting, Oil, Landscape, USA, 19th Century",
671,Ryohei Hase,,,DreamShaper 3.2,"Illustration, Cover Art, Horror, Japan",
672,"Rysselberghe, Théo van",1862,1926,Deliberate 2.0,"Painting, Oil, Pointillism, Belgium",
673,"Saftleven, Cornelis",1607,1681,Deliberate 2.0,"Painting, Oil, Landscape, Portrait, Netherlands, 17th Century",
674,"Sage, Amanda",1978,,Deliberate 2.0,"Painting, Oil, Psychedelic Art, USA",
675,"Saintclair, Apollonia",,,Deliberate 2.0,"Illustration, Ink, Nudity, B&W, France",
676,"Salminen, John",1945,,DreamShaper 3.2,"Illustration, Watercolor, Landscape, USA",
677,"Samorì, Nicola",1977,,DreamShaper 3.2,"Painting, Oil, Sculpture, Italy",
678,"Sandoval, Tony",1973,,DreamShaper 3.2,"Illustration, Watercolor, USA",
679,"Sargent, John Singer",1856,1925,Deliberate 2.0,"Painting, Oil, Watercolor, Portrait, USA, 19th Century",
680,"Sarnoff, Arthur",1912,2000,Deliberate 2.0,"Illustration, Painting, Oil, Portrait, Cover Art, USA",
681,"Sarrailh, Sylvain",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, France",
682,"Sarto, Andrea del",1486,1531,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 16th Century",
683,"Saryan, Martiros",1880,1972,DreamShaper 3.2,"Painting, Oil, Tempera, Landscape, Russia, Armenia",
684,"Savrasov, Alexei",1830,1897,DreamShaper 3.2,"Painting, Oil, Landscape, Russia, 19th Century",
685,"Scarry, Richard",1919,1994,Deliberate 2.0,"Illustration, Watercolor, Children's Book, USA",
686,"Schalcken, Godfried",1643,1706,Deliberate 2.0,"Painting, Oil, Portrait, Netherlands, 17th Century","Godefridus and Godfried both work, but the results of Godfried seem a bit nicer"
687,"Schaller, Thomas W.",,,Deliberate 2.0,"Painting, Watercolor, Architecture, Cityscape, USA",
688,"Scher, Paula",1948,,Deliberate 2.0,"Illustration, Graphic Design, Painting, USA",
689,"Schjerfbeck, Helene",1862,1946,Deliberate 2.0,"Painting, Oil, Portrait, Realism, Finland, 19th Century",
690,"Schoeller, Martin",1968,,Deliberate 2.0,"Photography, Portrait, Germany",
691,"Schoenherr, John Carl",1935,2010,DreamShaper 3.2,"Illustration, Children's Book, Sci-Fi, Dune, USA",
692,"Schomburg, Alex",1905,1998,Deliberate 2.0,"Illustration, Comic, Marvel, Cover Art, Puerto Rico, USA","512px + Highres. Fix, DPM++ SDE Karras, a lot of cover art in training data = text everywhere"
693,"Schongauer, Martin",1448,1491,Deliberate 2.0,"Painting, Illustration, Engraving, Mythology, Germany, 15th Century",
694,"Schrieck, Otto Marseus van",1613,1678,Deliberate 2.0,"Painting, Oil, Still Life, Botanical, Netherlands, 17th Century",
695,"Schuiten, François",1956,,DreamShaper 3.2,"Comic, Graphic Novel, Belgium",
696,"Schwabe, Carlos",1866,1926,Deliberate 2.0,"Illustration, Painting, Art Nouveau, Germany, 19th Century",
697,"Schwitters, Kurt",1887,1948,Deliberate 2.0,"Painting, Oil, Watercolor, Collage, Dada, Surrealism, Germany, UK",had to use [from:to:when] for H.C.
698,"Seddon-Boulet, Susan",1941,1997,DreamShaper 3.2,"Painting, Ink, Brazil",
699,"Seignac, Guillaume",1870,1924,DreamShaper 3.2,"Painting, Oil, Portrait, France",
700,"Semenov, Anton",,,DreamShaper 3.2,"Illustration, Horror, Russia",
701,"Seurat, Georges",1859,1891,Deliberate 2.0,"Painting, Oil, Pointillism, France",
702,"Severin, Marie",1929,2018,Deliberate 2.0,"Comic, DC Comics, Marvel, USA",
703,"Seveso, Alberto",,,DreamShaper 3.2,"Illustration, Photography, Portrait, UK",
704,"Shaden, Brooke",1987,,Deliberate 2.0,"Photography, Portrait, USA",needs big images (face)
705,"Shaw, Barclay",1949,,Deliberate 2.0,"Painting, Acrylic, Fantasy, Sci-Fi, Cover Art, USA",
706,"Shepard, Ernest Howard",1879,1976,Deliberate 2.0,"Illustrator, Painting, Winnie-the-Pooh, UK",
707,"Sheppard, Cynthia",,,DreamShaper 3.2,"Illustration, MTG, USA",
708,"Shields, Tyler",1982,,Deliberate 2.0,"Photography, Portrait, USA",512px + Highres. Fix (1024)
709,"Shimizu, Yuko",1965,,DreamShaper 3.2,"Illustration, USA",
710,"Shinkai, Makoto",1973,,DreamShaper 3.2,"Anime, Japan",
711,"Shinkawa, Yōji",1971,,Deliberate 2.0,"Illustration, Concept Art, Japan",
712,"Shinn, Everett",1876,1953,Deliberate 2.0,"Illustration, Painting, Oil, Watercolor, USA",
713,"Shirow, Masamune",1961,,Deliberate 2.0,"Illustration, Manga, Sci-Fi, Japan",
714,"Shiu, Emmanuel",,,DreamShaper 3.2,"Concept Art, Sci-Fi, USA",
715,"Sienkiewicz, Bill",1958,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, USA",
716,"Signac, Paul",1863,1935,Deliberate 2.0,"Painting, Oil, Pointillism, France",
717,"Silvestri, Marc",1958,,DreamShaper 3.2,"Comic, DC Comics, Marvel, USA",
718,"Simkins, Greg",1975,,DreamShaper 3.2,"Painting, Acrylic, Graffiti, USA",
719,"Simonetti, Marc",1977,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, France",
720,"Siqueiros, David Alfaro",1896,1974,Deliberate 2.0,"Painting, Portrait, Muralismo, Realism, Mexico",
721,"Sloan, Kevin",1958,,Deliberate 2.0,"Painting, Oil, USA",
722,"Smith, Grace Cossington",1892,1984,Deliberate 2.0,"Painting, Oil, Australia",
723,"Spare, Austin Osman",1886,1956,DreamShaper 3.2,"Illustration, Painting, Chalk, Pastel, Art Nouveau, Symbolism, Occultism, UK",
724,Sparth,,,Deliberate 2.0,"Illustration, Concept Art, Game Art, Sci-Fi, USA",
725,"Sperry, Chuck",1962,,DreamShaper 3.2,"Illustration, Screen Print, Portrait, USA",
726,"Spratt, Sam",,,Deliberate 2.0,"Illustration, Painting, USA",
727,"Steadman, Ralph",1936,,Deliberate 2.0,"Author, Illustration, Comic, Cartoon, UK",
728,"Stelfreeze, Brian",,,DreamShaper 3.2,"Comic, DC Comics, Marvel, USA",
729,"Stieglitz, Alfred",1864,1946,Deliberate 2.0,"Photography, Portrait, B&W, USA, 19th Century",
730,"Stokoe, James",1985,,DreamShaper 3.2,"Comic, DC Comics, Marvel, Canada",
731,"Streeton, Arthur Ernest",1867,1943,Deliberate 2.0,"Painting, Oil, Watercolor, Landscape, Australia, 19th Century",
732,"Struzan, Drew",1947,,Deliberate 2.0,"Illustration, Poster, USA",
733,"Strzalkowski, Tomasz",,,Deliberate 2.0,"3D, Character Design, Game Art, Poland",
734,"Stålenhag, Simon",1984,,Deliberate 2.0,"Concept Art, Sci-Fi, Sweden",
735,"Sugimori, Ken",1966,,DreamShaper 3.2,"Illustration, Game Art, Pokemon, Japan",
736,"Suydam, Arthur",1953,,DreamShaper 3.2,"Illustration, Comic, Marvel, USA",
737,"Swanland, Raymond",,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, USA",
738,"Sève, Peter de",1958,,Deliberate 2.0,"Illustration, Animation, Cover Art, USA",
739,"Takahashi, Hiroyuki-Mitsume",,,Deliberate 2.0,"Illustration, Comic, Japan",
740,"Takahashi, Kazuya",,,DreamShaper 3.2,"Illustration, Game Art, Japan",
741,"Takahashi, Rumiko",1957,,DreamShaper 3.2,"Illustration, Manga, Japan",
742,"Tamayo, Rufino",1899,1991,,"Painting, Oil, Cubism, Surrealism, Abstract, Mexico",
743,"Tan, Shaun",1974,,Deliberate 2.0,"Illustration, Painting, Ink, Oil, Australia",
744,"Tanner, Henry Ossawa",1859,1937,Deliberate 2.0,"Painting, Oil, Portrait, USA, 19th Century",
745,"Tartakovsky, Genndy",1970,,Deliberate 2.0,"Illustration, Animation, Character Design, TV, Russia, USA","Highres. Fix, DPM2++ Karas"
746,"Templesmith, Ben",1984,,Deliberate 2.0,"Illustration, Comic, Australia",
747,"Teng, Sachin",1989,,DreamShaper 3.2,"Illustration, Comic, Poster, Cover Art, USA",
748,"Tenggren, Gustaf",1896,1970,DreamShaper 3.2,"Illustration, Disney, USA",
749,"Tepper, Saul",1899,1987,DreamShaper 3.2,"Illustration, Painting, Oil, Portrait, USA",
750,"Terada, Katsuya",1963,,Deliberate 2.0,"Illustration, Japan",
751,"Terpning, Howard",1927,,Deliberate 2.0,"Illustration, Painting, Oil, Portrait, Landscape, Realism, USA",
752,"Tezuka, Osamu",1928,1989,DreamShaper 3.2,"Illustration, Manga, Japan","512px + Highres. Fix, DPM++ SDE Karras"
753,"Thayer, Abbott Handerson",1849,1921,Deliberate 2.0,"Painting, Oil, Portrait, USA, 19th Century",
754,"Thole, Karel",1914,2000,DreamShaper 3.2,"Illustration, Painting, Netherlands",
755,"Thomas, Mickalene",1971,,DreamShaper 3.2,"Painting, Acrylic, Photography, Collage, USA",
756,"Thompson, Craig",1975,,Deliberate 2.0,"Comic, Graphic Novel, Ink, B&W, USA",512px + Highres. Fix
757,"Thomson, Tom",1877,1917,Deliberate 2.0,"Painting, Oil, Landscape, Canada, 19th Century",
758,"Tiepolo, Giovanni",1696,1770,DreamShaper 3.2,"Painting, Oil, 18th Century",
759,"Timmermans, Alex",1962,,Deliberate 2.0,"Photography, Netherlands",
760,Titian (Tiziano Vecelli),1488,1576,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 16th Century",
761,"Tomine, Adrian",1974,,Deliberate 2.0,"Illustration, Comic, Cover Art, USA",
762,"Toor, Ori",,,Deliberate 2.0,"Illustration, Israel",
763,"Toriyama, Akira",1955,,DreamShaper 3.2,"Illustration, Manga, Anime, DragonBall, Japan","512px + Highres. Fix, DPM++ SDE Karras"
764,"Toth, Alex",1928,2006,Deliberate 2.0,"Comic, DC Comics, B&W, USA",
765,"Toulouse-Lautrec, Henri de",1864,1901,DreamShaper 3.2,"Illustration, Painting, France, 19th Century",
766,"Tran, Ross (RossDraws)",1992,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Portrait, USA",
767,"Turner, William",1775,1851,Deliberate 2.0,"Painting, Oil, Watercolor, Landscape, Romanticism, UK, 19th Century",
768,"Turnham, Chris",,,DreamShaper 3.2,"Illustration, USA",
769,"Tutwiler, David",1952,,DreamShaper 3.2,"Painting, Oil, Watercolor, Landscape, USA",
770,"Uesugi, Tadahiro",1966,,DreamShaper 3.2,"Illustration, Japan",
771,"Uglow, Euan",1932,2000,Deliberate 2.0,"Painting, Oil, Still Life, Portrait, UK",
772,"Uhlig, Daniela",1982,,DreamShaper 3.2,"Illustration, Character Design, Game Art, Germany",
773,"Ural, Halil",1983,,DreamShaper 3.2,"Illustration, Concept Art, Game Art, Turkey",
774,"Urschel, Jan",,,DreamShaper 3.2,"Illustration, Concept Art, Sci-Fi, Game Art, Germany",
775,"Vallejo, Boris",1941,,DreamShaper 3.2,"Illustration, Painting, Cover Art, Poster, Pin-Ups, Fantasy, Peru, USA","768px + Highres. Fix, DPM++ SDE Karras"
776,"Van Gogh, Vincent Willem",1853,1890,Deliberate 2.0,"Painting, Oil, Pointillism, Netherlands, 19th Century","when used alone, tends to be a bit inflexible (starry night clouds, his face structure in portraits)"
777,"Vargas, Alberto",1896,1982,Deliberate 2.0,"Illustration, Pin-Ups, USA",
778,"Vaughan, Brian K.",1976,,Deliberate 2.0,"Comic, Graphic Novel, DC Comics, Marvel, USA",
779,"Velázquez, Diego",1599,1660,DreamShaper 3.2,"Painting, Oil, Portrait, Baroque, Spain, 17th Century",sometimes guitars
780,"Vereshchagin, Vasily",1842,1904,Deliberate 2.0,"Painting, Oil, Realism, Orientalism, Russia, 19th Century",512px + Highres. Fix
781,"Verrocchio, Andrea del",1435,1488,Deliberate 2.0,"Painting, Oil, Italy, 15th Century",
782,"Vesalius, Andreas",1514,1564,Deliberate 2.0,"Author, Illustration, Anatomy, Engraving, Woodcut, Belgium, 16th Century",
783,"Vess, Charles",1951,,Deliberate 2.0,"Comic, Fantasy, USA",512px + Highres. Fix
784,"Vigée-Lebrun, Élisabeth",1755,1842,Deliberate 2.0,"Painting, Oil, Portrait, Rococo, France, 18th Century",difficult to prompt men
785,"Wain, Louis",1860,1939,Deliberate 2.0,"Illustration, Painting, Ink, Watercolor, Gouache, Cat, UK, 19th Century",
